Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Data_Value_Footnote_Symbol,Data_Value_Footnote,PopulationCount,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2017,CT,Connecticut,New Haven,City,BRFSS,Health Outcomes,0952000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,35.5,35.3,35.7,,,129779,"(41.3113869392, -72.9247595793)",HLTHOUT,BPHIGH,0952000,,High Blood Pressure
2017,FL,Florida,Cape Coral,City,BRFSS,Health Outcomes,1210275,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.4,,,154305,"(26.6448544993, -81.9931108298)",HLTHOUT,CHD,1210275,,Coronary Heart Disease
2017,FL,Florida,Plantation,City,BRFSS,Health Outcomes,1257425,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.9,6.1,,,84955,"(26.1259853923, -80.2616762465)",HLTHOUT,CANCER,1257425,,Cancer (except skin)
2017,FL,Florida,Plantation,City,BRFSS,Health Outcomes,1257425,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.8,2.7,2.9,,,84955,"(26.1259853923, -80.2616762465)",HLTHOUT,STROKE,1257425,,Stroke
2017,CA,California,Santa Clarita,City,BRFSS,Health Outcomes,0669088,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.1,6.1,6.1,,,176320,"(34.4119039185, -118.503504698)",HLTHOUT,CANCER,0669088,,Cancer (except skin)
2017,CA,California,Santa Monica,City,BRFSS,Health Outcomes,0670000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.1,2.1,2.2,,,89736,"(34.0231891612, -118.481563937)",HLTHOUT,STROKE,0670000,,Stroke
2017,IL,Illinois,Naperville,City,BRFSS,Health Outcomes,1751622,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.1,4,4.3,,,141853,"(41.7482001145, -88.1657705099)",HLTHOUT,COPD,1751622,,COPD
2017,IN,Indiana,Lafayette,City,BRFSS,Health Outcomes,1840788,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.3,10.1,10.4,,,67140,"(40.3994285285, -86.8617007404)",HLTHOUT,CASTHMA,1840788,,Current Asthma
2017,IA,Iowa,Iowa City,City,BRFSS,Health Outcomes,1938595,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.2,5,5.4,,,67862,"(41.6558950332, -91.5308854927)",HLTHOUT,COPD,1938595,,COPD
2017,KS,Kansas,Kansas City,City,BRFSS,Health Outcomes,2036000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,7,7.1,,,145786,"(39.1234621409, -94.7441921112)",HLTHOUT,CHD,2036000,,Coronary Heart Disease
2017,GA,Georgia,Athens,City,BRFSS,Health Outcomes,1303440,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.9,3.8,4,,,115452,"(33.9508170683, -83.3689417445)",HLTHOUT,STROKE,1303440,,Stroke
2017,IL,Illinois,Evanston,City,BRFSS,Health Outcomes,1724582,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.4,2.3,2.5,,,74486,"(42.0463099649, -87.6940348773)",HLTHOUT,STROKE,1724582,,Stroke
2017,LA,Louisiana,New Orleans,City,BRFSS,Health Outcomes,2255000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,40,39.9,40.1,,,343829,"(30.0687009935, -89.9316317895)",HLTHOUT,BPHIGH,2255000,,High Blood Pressure
2017,LA,Louisiana,Shreveport,City,BRFSS,Health Outcomes,2270000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,41.4,41.2,41.7,,,199311,"(32.4671618864, -93.7962236108)",HLTHOUT,BPHIGH,2270000,,High Blood Pressure
2017,MI,Michigan,Ann Arbor,City,BRFSS,Health Outcomes,2603000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,25.2,25,25.4,,,113934,"(42.2756833567, -83.7311374448)",HLTHOUT,BPHIGH,2603000,,High Blood Pressure
2017,MI,Michigan,Farmington Hills,City,BRFSS,Unhealthy Behaviors,2627440,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.6,13.1,14.1,,,79740,"(42.4859956992, -83.3771159714)",UNHBEH,CSMOKING,2627440,,Current Smoking
2017,MO,Missouri,Kansas City,City,BRFSS,Unhealthy Behaviors,2938000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.4,21.1,21.7,,,459787,"(39.1239413971, -94.5541236795)",UNHBEH,CSMOKING,2938000,,Current Smoking
2017,NJ,New Jersey,Camden,City,BRFSS,Health Outcomes,3410000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.3,5.4,,,77344,"(39.9361910066, -75.1072961899)",HLTHOUT,CANCER,3410000,,Cancer (except skin)
2017,NM,New Mexico,Rio Rancho,City,BRFSS,Unhealthy Behaviors,3563460,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.8,16.3,17.4,,,87521,"(35.287307935, -106.697981552)",UNHBEH,CSMOKING,3563460,,Current Smoking
2017,NC,North Carolin,Concord,City,BRFSS,Health Outcomes,3714100,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.4,,,79066,"(35.3939316958, -80.6352429349)",HLTHOUT,CANCER,3714100,,Cancer (except skin)
2017,NC,North Carolin,Greenville,City,BRFSS,Health Outcomes,3728080,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.6,7.3,7.8,,,84554,"(35.5959211876, -77.3766133673)",HLTHOUT,COPD,3728080,,COPD
2017,OH,Ohio,Parma,City,BRFSS,Health Outcomes,3961000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.8,6.1,,,81601,"(41.3842399838, -81.728599153)",HLTHOUT,CHD,3961000,,Coronary Heart Disease
2017,OK,Oklahoma,Broken Arrow,City,BRFSS,Health Outcomes,4009050,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.4,6.5,,,98850,"(36.0366324911, -95.7809572414)",HLTHOUT,CANCER,4009050,,Cancer (except skin)
2017,OK,Oklahoma,Lawton,City,BRFSS,Unhealthy Behaviors,4041850,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.1,21.6,22.7,,,96867,"(34.6170564899, -98.4203934803)",UNHBEH,CSMOKING,4041850,,Current Smoking
2017,OK,Oklahoma,Oklahoma City,City,BRFSS,Health Outcomes,4055000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,36.3,36.3,36.4,,,579999,"(35.467564288, -97.5137615524)",HLTHOUT,BPHIGH,4055000,,High Blood Pressure
2017,OR,Oregon,Salem,City,BRFSS,Health Outcomes,4164900,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3,3,3.1,,,154637,"(44.923273154, -123.0248671)",HLTHOUT,STROKE,4164900,,Stroke
2017,TX,Texas,Abilene,City,BRFSS,Health Outcomes,4801000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.3,3.2,3.3,,,117063,"(32.4546510898, -99.7383043723)",HLTHOUT,STROKE,4801000,,Stroke
2017,TX,Texas,Bryan,City,BRFSS,Health Outcomes,4810912,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.9,6.1,,,76201,"(30.6665687582, -96.3663819223)",HLTHOUT,CANCER,4810912,,Cancer (except skin)
2017,TX,Texas,Dallas,City,BRFSS,Health Outcomes,4819000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.3,6.3,,,1197816,"(32.7939804066, -96.7656929463)",HLTHOUT,CHD,4819000,,Coronary Heart Disease
2017,TX,Texas,Dallas,City,BRFSS,Health Outcomes,4819000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.3,6.2,6.3,,,1197816,"(32.7939804066, -96.7656929463)",HLTHOUT,COPD,4819000,,COPD
2017,TX,Texas,Frisco,City,BRFSS,Health Outcomes,4827684,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.2,6.2,6.3,,,116989,"(33.1507545152, -96.8201336312)",HLTHOUT,CANCER,4827684,,Cancer (except skin)
2017,VA,Virginia,Suffolk,City,BRFSS,Health Outcomes,5176432,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.7,6.5,6.8,,,84585,"(36.6930367981, -76.6414278469)",HLTHOUT,COPD,5176432,,COPD
2017,WA,Washington,Auburn,City,BRFSS,Unhealthy Behaviors,5303180,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,15.3,14.8,15.8,,,70180,"(47.3038544325, -122.210810557)",UNHBEH,CSMOKING,5303180,,Current Smoking
2017,WA,Washington,Spokane Valley,City,BRFSS,Health Outcomes,5367167,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.5,5.4,5.6,,,89755,"(47.662556574, -117.234571922)",HLTHOUT,CHD,5367167,,Coronary Heart Disease
2017,US,United States,,US,BRFSS,Health Outcomes,59,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6,5.9,6.2,,,308745538,,HLTHOUT,CANCER,,,Cancer (except skin)
2017,AZ,Arizona,Glendale,City,BRFSS,Health Outcomes,0427820,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,10.7,10.6,10.7,,,226721,"(33.5796123089, -112.225306421)",HLTHOUT,CASTHMA,0427820,,Current Asthma
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Unhealthy Behaviors,0177256,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,20.6,20,21.2,,,90468,"(33.2336083951, -87.5268004073)",UNHBEH,CSMOKING,0177256,,Current Smoking
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.8,7.7,8,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,COPD,0137000,,COPD
2017,AK,Alaska,Anchorage,City,BRFSS,Health Outcomes,0203000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.8,8.9,,,291826,"(61.149868731, -149.111113424)",HLTHOUT,CASTHMA,0203000,,Current Asthma
2017,AL,Alabama,Huntsville,City,BRFSS,Unhealthy Behaviors,0137000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,19,18.5,19.4,,,180105,"(34.6989692671, -86.6387042882)",UNHBEH,CSMOKING,0137000,,Current Smoking
2017,US,United States,,US,BRFSS,Health Outcomes,59,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.9,2.8,3,,,308745538,,HLTHOUT,STROKE,,,Stroke
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.2,4.1,4.2,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,STROKE,0150000,,Stroke
2017,US,United States,,US,BRFSS,Health Outcomes,59,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.6,5.5,5.7,,,308745538,,HLTHOUT,CHD,,,Coronary Heart Disease
2017,AZ,Arizona,Chandler,City,BRFSS,Health Outcomes,0412000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5,4.9,5.1,,,236123,"(33.28318981, -111.852210033)",HLTHOUT,COPD,0412000,,COPD
2017,AL,Alabama,Hoover,City,BRFSS,Unhealthy Behaviors,0135896,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.2,12.7,13.8,,,81619,"(33.3767602729, -86.8051937568)",UNHBEH,CSMOKING,0135896,,Current Smoking
2017,AL,Alabama,Mobile,City,BRFSS,Unhealthy Behaviors,0150000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.2,20.8,21.5,,,195111,"(30.6776248648, -88.1184482714)",UNHBEH,CSMOKING,0150000,,Current Smoking
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,42.9,42.6,43.1,,,90468,"(33.2336083951, -87.5268004073)",HLTHOUT,BPHIGH,0177256,,High Blood Pressure
2017,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.3,7.2,7.3,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,CHD,0107000,,Coronary Heart Disease
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.5,11.4,11.6,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,CASTHMA,0150000,,Current Asthma
2017,AZ,Arizona,Gilbert,City,BRFSS,Health Outcomes,0427400,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.7,9.7,9.8,,,208453,"(33.310149392, -111.746237467)",HLTHOUT,CASTHMA,0427400,,Current Asthma
2017,AL,Alabama,Montgomery,City,BRFSS,Unhealthy Behaviors,0151000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,21.4,20.9,21.8,,,205764,"(32.3472645333, -86.2677059552)",UNHBEH,CSMOKING,0151000,,Current Smoking
2017,AL,Alabama,Montgomery,City,BRFSS,Health Outcomes,0151000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.2,4.2,4.3,,,205764,"(32.3472645333, -86.2677059552)",HLTHOUT,STROKE,0151000,,Stroke
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,11.2,11,11.3,,,90468,"(33.2336083951, -87.5268004073)",HLTHOUT,CASTHMA,0177256,,Current Asthma
2017,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,9.2,9.1,9.3,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,CASTHMA,0135896,,Current Asthma
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.4,6.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CANCER,0137000,,Cancer (except skin)
2017,US,United States,,US,BRFSS,Health Outcomes,59,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29.7,29.4,30,,,308745538,,HLTHOUT,BPHIGH,,,High Blood Pressure
2017,AZ,Arizona,Chandler,City,BRFSS,Unhealthy Behaviors,0412000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.9,13.6,14.2,,,236123,"(33.28318981, -111.852210033)",UNHBEH,CSMOKING,0412000,,Current Smoking
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.4,6.3,6.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,CHD,0137000,,Coronary Heart Disease
2017,US,United States,,US,BRFSS,Unhealthy Behaviors,59,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,16.7,16.5,17,,,308745538,,UNHBEH,CSMOKING,,,Current Smoking
2017,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.4,5.2,5.6,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,COPD,0135896,,COPD
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.5,8.3,8.6,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,COPD,0150000,,COPD
2017,AZ,Arizona,Gilbert,City,BRFSS,Health Outcomes,0427400,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.7,4.6,4.8,,,208453,"(33.310149392, -111.746237467)",HLTHOUT,COPD,0427400,,COPD
2017,AZ,Arizona,Chandler,City,BRFSS,Health Outcomes,0412000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.4,6.3,6.4,,,236123,"(33.28318981, -111.852210033)",HLTHOUT,CANCER,0412000,,Cancer (except skin)
2017,AL,Alabama,Montgomery,City,BRFSS,Health Outcomes,0151000,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.7,8.5,8.9,,,205764,"(32.3472645333, -86.2677059552)",HLTHOUT,COPD,0151000,,COPD
2017,AL,Alabama,Birmingham,City,BRFSS,Health Outcomes,0107000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,45.2,45,45.4,,,212237,"(33.5275663773, -86.7988174678)",HLTHOUT,BPHIGH,0107000,,High Blood Pressure
2017,AZ,Arizona,Gilbert,City,BRFSS,Unhealthy Behaviors,0427400,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,13.5,13.1,13.8,,,208453,"(33.310149392, -111.746237467)",UNHBEH,CSMOKING,0427400,,Current Smoking
2017,AL,Alabama,Montgomery,City,BRFSS,Health Outcomes,0151000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7,6.9,7.1,,,205764,"(32.3472645333, -86.2677059552)",HLTHOUT,CHD,0151000,,Coronary Heart Disease
2017,AL,Alabama,Birmingham,City,BRFSS,Unhealthy Behaviors,0107000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,22.2,21.8,22.5,,,212237,"(33.5275663773, -86.7988174678)",UNHBEH,CSMOKING,0107000,,Current Smoking
2017,AL,Alabama,Hoover,City,BRFSS,Health Outcomes,0135896,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.5,6.6,,,81619,"(33.3767602729, -86.8051937568)",HLTHOUT,CANCER,0135896,,Cancer (except skin)
2017,AL,Alabama,Huntsville,City,BRFSS,Health Outcomes,0137000,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.5,3.4,3.5,,,180105,"(34.6989692671, -86.6387042882)",HLTHOUT,STROKE,0137000,,Stroke
2017,AL,Alabama,Tuscaloosa,City,BRFSS,Health Outcomes,0177256,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7,6.9,7.2,,,90468,"(33.2336083951, -87.5268004073)",HLTHOUT,CHD,0177256,,Coronary Heart Disease
2017,US,United States,,US,BRFSS,Health Outcomes,59,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.9,5.8,6,,,308745538,,HLTHOUT,COPD,,,COPD
2017,AL,Alabama,Mobile,City,BRFSS,Health Outcomes,0150000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,7.1,7,7.2,,,195111,"(30.6776248648, -88.1184482714)",HLTHOUT,CHD,0150000,,Coronary Heart Disease
2017,US,United States,,US,BRFSS,Health Outcomes,59,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,8.9,8.8,9.1,,,308745538,,HLTHOUT,CASTHMA,,,Current Asthma
2017,TX,Texas,Mission,City,BRFSS,Unhealthy Behaviors,4848768,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,14.5,13.8,15.2,,,77058,"(26.2033406464, -98.322770513)",UNHBEH,CSMOKING,4848768,,Current Smoking
2017,TX,Texas,Pearland,City,BRFSS,Health Outcomes,4856348,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,4.1,4,4.4,,,91252,"(29.5584850577, -95.3208389111)",HLTHOUT,COPD,4856348,,COPD
2017,AZ,Arizona,Glendale,City,BRFSS,Health Outcomes,0427820,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.8,6.7,7,,,226721,"(33.5796123089, -112.225306421)",HLTHOUT,COPD,0427820,,COPD
2017,AZ,Arizona,Peoria,City,BRFSS,Health Outcomes,0454050,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.5,6.6,,,154065,"(33.7847206422, -112.298680584)",HLTHOUT,CANCER,0454050,,Cancer (except skin)
2017,AZ,Arizona,Mesa,City,BRFSS,Health Outcomes,0446000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,27.9,27.8,28,,,439041,"(33.4022837359, -111.718721181)",HLTHOUT,BPHIGH,0446000,,High Blood Pressure
2017,AZ,Arizona,Phoenix,City,BRFSS,Health Outcomes,0455000,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,29,28.9,29,,,1445632,"(33.5724138695, -112.088995222)",HLTHOUT,BPHIGH,0455000,,High Blood Pressure
2017,AZ,Arizona,Phoenix,City,BRFSS,Health Outcomes,0455000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.2,6.2,6.3,,,1445632,"(33.5724138695, -112.088995222)",HLTHOUT,CANCER,0455000,,Cancer (except skin)
2017,AZ,Arizona,Peoria,City,BRFSS,Health Outcomes,0454050,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,2.5,2.4,2.6,,,154065,"(33.7847206422, -112.298680584)",HLTHOUT,STROKE,0454050,,Stroke
2017,AZ,Arizona,Phoenix,City,BRFSS,Unhealthy Behaviors,0455000,Current smoking among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,17.8,17.6,17.9,,,1445632,"(33.5724138695, -112.088995222)",UNHBEH,CSMOKING,0455000,,Current Smoking
2017,AZ,Arizona,Glendale,City,BRFSS,Health Outcomes,0427820,Stroke among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,3.1,3.1,3.2,,,226721,"(33.5796123089, -112.225306421)",HLTHOUT,STROKE,0427820,,Stroke
2017,AZ,Arizona,Mesa,City,BRFSS,Health Outcomes,0446000,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.5,5.4,5.5,,,439041,"(33.4022837359, -111.718721181)",HLTHOUT,CHD,0446000,,Coronary Heart Disease
2017,AZ,Arizona,Mesa,City,BRFSS,Health Outcomes,0446000,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,6.5,6.5,6.5,,,439041,"(33.4022837359, -111.718721181)",HLTHOUT,CANCER,0446000,,Cancer (except skin)
2017,CA,California,Antioch,City,BRFSS,Health Outcomes,0602252,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,Age-adjusted prevalence,5.3,5.2,5.4,,,102372,"(37.9777042922, -121.796606971)",HLTHOUT,CHD,0602252,,Coronary Heart Disease
